GO	-log10(pvalue)	genes
GO:0009612	0.8584319492838379	AT4G11280
GO:0006511	0.8531165498934024	AT2G18915
GO:0009773	0.8364772183758091	AT1G55370
GO:0048441	0.8364772183758091	AT3G13730
GO:1900425	0.8364772183758091	AT1G51090
GO:0051923	0.8364772183758091	AT2G03760
GO:0006012	0.8364772183758091	AT1G56600
GO:0009750	0.8364772183758091	AT3G47340
GO:0010315	0.8364772183758091	AT3G62150
GO:0009555	0.8339758509000178	AT1G63180,AT5G04950,AT1G05690,AT3G45640
GO:0016310	0.8339758509000178	AT1G51805,AT1G72760,AT5G35960,AT4G08170
GO:0007165	0.8203092442397387	AT1G33600,AT1G66090,AT4G18700,AT1G63750,AT3G29575,AT4G19510,AT3G45640
GO:0030001	0.8160280971465784	AT2G23150
GO:0009704	0.8160280971465784	AT4G00050
GO:0010200	0.8160280971465784	AT3G45640
GO:0010099	0.7969217185039967	AT2G20180
GO:0010223	0.7969217185039967	AT3G14067
GO:0055062	0.7969217185039967	AT1G68670
GO:0000723	0.7969217185039967	AT5G13820
GO:0051865	0.7969217185039967	AT3G46620
GO:0009909	0.7936810148599853	AT5G24240,AT1G66400
GO:0048367	0.7936810148599853	AT1G13245,AT3G22200
GO:0009969	0.7790202957405898	AT3G62720
GO:0140964	0.7790202957405898	AT4G27260
GO:0030148	0.7790202957405898	AT1G75000
GO:0009691	0.7790202957405898	AT5G19040
GO:0044027	0.7790202957405898	AT5G20320
GO:0055085	0.7785884907472537	AT5G17830,AT3G62150
GO:0006629	0.771883735825293	AT5G18630,AT5G58070
GO:0016567	0.7670581228332992	AT3G09770,AT3G46620,AT1G47128,AT3G07370
GO:0030154	0.7667062860362557	AT1G66230,AT2G22860
GO:0006863	0.7622062233888707	AT1G19770
GO:0071555	0.7622062233888707	AT4G07960
GO:0009970	0.7622062233888707	AT1G55920
GO:0010229	0.7622062233888707	AT3G45640
GO:0009767	0.7622062233888707	AT5G49740
GO:0009693	0.7622062233888707	AT4G11280
GO:0009686	0.7622062233888707	AT2G20180
GO:0030026	0.7622062233888707	AT2G23150
GO:0009904	0.7622062233888707	AT3G45780
GO:0006357	0.7600559793975967	AT1G10586,AT3G22830
GO:0009793	0.7518848646101925	AT4G31770,AT4G01360,AT2G15890,AT4G20090,AT4G31780
GO:0000162	0.7463783188189497	AT5G28237
GO:0009785	0.7463783188189497	AT3G45780
GO:1905392	0.7463783188189497	AT2G22860
GO:0009903	0.7463783188189497	AT3G45780
GO:0009408	0.7403328988298032	AT2G20180,AT3G08720,AT5G58070
GO:0016132	0.7173414854854481	AT3G13730
GO:0010268	0.7173414854854481	AT3G13730
GO:0009638	0.7173414854854481	AT3G45780
